,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-rh-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057,-0.1,0.023,0.038,0.017,-0.034,-0.026,0.06,-0.042,-0.06,-0.046,-0.018,0.033,0.015,0.016,-0.032,0.063,0.096,0.082,0.027,-0.008,-0.059,0.038,0.161,0.066
ctx-rh-LA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,0.032,0.046,-0.016,-0.054,0.044,0.109,0.019,0.014,-0.02,-0.018,-0.008,0.027,0.043,0.01,0.102,0.143,0.055,-0.041,-0.117,-0.117,0.047,0.137,0.025
ctx-rh-LA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.042,0.009,-0.077,-0.07,-0.007,0.107,0.04,0.037,-0.06,-0.027,0.009,0.015,-0.054,-0.05,0.011,0.134,0.04,-0.081,-0.087,-0.116,-0.002,0.066,0.015
ctx-rh-LC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,-0.025,-0.004,-0.102,0.068,0.016,0.007,0.048,0.025,-0.033,-0.03,-0.022,0.026,-0.097,0.067,0.056,0.013,-0.007,0.022,0.055,0.043,0.113
ctx-rh-LC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,-0.034,-0.014,0.009,0.013,0.04,-0.029,-0.072,-0.071,-0.057,-0.069,-0.009,-0.072,-0.003,0.031,-0.003,-0.057,0.011,-0.007,0.027,0.123
ctx-rh-LC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058,0.063,-0.002,-0.002,0.008,-0.042,-0.084,-0.061,-0.014,-0.004,-0.053,-0.044,0.014,-0.037,-0.112,-0.078,-0.001,-0.049,0.008,0.095
ctx-rh-LD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.109,-0.068,-0.031,-0.029,-0.04,-0.031,-0.047,-0.052,-0.073,-0.052,0.023,-0.083,-0.027,-0.075,-0.082,-0.111,-0.113,-0.058,-0.075
ctx-rh-LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048,-0.063,-0.08,-0.07,-0.093,-0.116,-0.021,-0.094,0.04,-0.067,0.004,-0.036,0.042,-0.023,-0.059,-0.058,-0.012,-0.018
ctx-rh-OA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.007,0.027,0.044,0.026,0.021,0.005,0.143,0.117,0.019,0.049,0.076,0.054,0.019,0.024,0.029,0.058
ctx-rh-OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047,-0.056,-0.059,-0.039,-0.019,-0.043,-0.011,0.069,0.065,-0.04,0.006,-0.037,-0.042,-0.043,0.031,0.105
ctx-rh-OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071,-0.07,-0.068,0.001,-0.078,-0.033,0.076,0.04,-0.046,-0.002,-0.078,-0.137,-0.052,0.017,0.077
ctx-rh-PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,-0.034,0.088,0.128,0.035,0.178,0.041,-0.013,-0.023,-0.108,-0.063,0.077,0.113,0.081
ctx-rh-PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.076,0.081,0.048,0.12,0.06,0.05,0.083,-0.058,-0.063,0.017,0.107,0.035
ctx-rh-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.008,-0.007,0.083,0.026,0.002,0.017,-0.082,-0.056,-0.044,0.11,-0.049
ctx-rh-PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-0.057,0.123,0.017,-0.01,0.026,-0.043,-0.007,0.037,0.112,-0.004
