,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-rh-FH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,0.072,0.005,0.068,-0.073,-0.248,-0.022,-0.193,-0.203,0.032,-0.223,0.049,-0.039,0.008,-0.024,-0.217,0.015,-0.215,-0.335,0.036,-0.061,-0.163,-0.313,-0.198,-0.135
ctx-rh-FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,-0.048,-0.144,-0.168,-0.125,-0.057,-0.169,-0.009,-0.053,-0.06,-0.193,-0.061,-0.239,-0.134,-0.161,-0.023,-0.153,-0.261,-0.031,-0.041,-0.234,-0.031,0.03,-0.0
ctx-rh-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148,-0.262,-0.099,-0.056,0.131,-0.007,0.154,0.019,-0.021,-0.151,-0.218,-0.133,-0.069,-0.294,-0.118,-0.129,0.014,-0.262,-0.229,-0.091,0.172,-0.131,-0.208
ctx-rh-IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.013,-0.071,-0.208,-0.032,0.058,0.158,0.072,0.112,0.11,0.309,0.259,0.285,0.116,0.068,0.135,0.043,-0.062,-0.082,0.348,-0.136,-0.24
ctx-rh-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.108,-0.075,-0.167,-0.077,-0.028,0.047,0.105,0.114,0.025,0.108,0.03,0.042,0.076,-0.044,-0.035,-0.13,0.038,-0.086,0.129,-0.309,-0.245
ctx-rh-LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,-0.015,0.045,0.016,-0.013,0.013,-0.086,-0.148,0.262,0.341,-0.079,-0.18,0.078,-0.074,-0.132,0.105,-0.05,-0.059,-0.156,-0.024
ctx-rh-LC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.177,-0.101,-0.101,-0.03,-0.115,-0.103,0.032,0.125,-0.101,-0.098,0.23,-0.206,-0.211,0.044,0.154,0.128,-0.073,-0.008
ctx-rh-LC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,0.019,0.035,0.112,-0.136,-0.213,-0.099,0.137,-0.322,-0.221,0.255,-0.04,-0.223,0.06,-0.013,0.125,0.183,-0.025
ctx-rh-LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.02,0.006,-0.108,-0.246,0.1,0.18,-0.196,-0.166,0.189,0.051,-0.09,0.134,-0.034,0.091,0.117,0.044
ctx-rh-OA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,0.272,0.002,-0.224,0.11,0.049,0.015,-0.21,-0.184,-0.002,0.02,0.148,-0.203,-0.059,0.136,0.058
ctx-rh-OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,-0.102,-0.304,0.116,0.182,0.098,-0.193,-0.041,0.005,-0.079,0.214,-0.246,0.112,0.131,-0.112
ctx-rh-OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,-0.187,0.286,0.299,0.13,-0.204,-0.059,0.12,0.036,0.229,-0.212,-0.012,0.1,0.044
ctx-rh-PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,0.01,0.141,-0.057,-0.078,-0.084,0.009,-0.113,0.268,-0.128,0.09,-0.079,-0.066
ctx-rh-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.083,-0.08,-0.075,0.11,-0.099,-0.152,-0.015,0.024,-0.088,0.023,-0.215,-0.144
ctx-rh-PEm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187,0.027,0.07,-0.051,0.212,-0.026,0.083,0.024,0.265,0.023,-0.138
ctx-rh-PEp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,-0.037,0.083,0.042,-0.017,0.158,0.14,0.238,0.084,0.076
ctx-rh-PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,-0.122,-0.06,-0.066,0.099,-0.079,0.085,-0.437,-0.275
ctx-rh-PFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.171,-0.071,-0.001,-0.108,0.02,-0.232,-0.175
ctx-rh-PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.368,-0.015,0.065,0.165,-0.031,-0.277,-0.011
ctx-rh-PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.015,-0.378,-0.264,0.034,0.041
ctx-rh-TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,-0.225,-0.03,-0.12,-0.155
ctx-rh-TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.111,0.131,-0.133,-0.065
ctx-rh-TE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,-0.244,-0.145
ctx-rh-TE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292,-0.092
ctx-rh-TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.223
ctx-rh-TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
